@relation covid

@attribute dia NUMERIC
@attribute casos NUMERIC
@attribute fallecidos NUMERIC

@data
0,1,0
1,1,0
2,4,0
3,4,0
4,4,0
5,8,0
6,8,0
7,13,0
8,23,0
9,33,0
10,43,0
11,61,0
12,75,0
13,175,0
14,201,0
15,238,0
16,342,0
17,434,0
18,537,1
19,632,1
20,746,2
21,922,2
22,1142,3
23,1306,4
24,1610,5
25,1909,6
26,2139,7
27,2449,8
28,2738,12
29,3031,16
30,3404,18
31,3737,22
32,4161,27
33,4471,34
34,4815,37
35,5116,43
36,5546,48
37,5972,57
38,6501,65
39,6927,73
40,7213,80
41,7525,82
42,7917,92
43,8273,94
44,8807,105
45,9252,116
46,9730,126
47,10088,133
48,10507,139

